"mode","time","number","sd","share","cinf","csup","shareinf","sharesup","year"
"Bicycle",33.7027027027027,111,21.3407823809014,0.78169014084507,29.7325709531432,37.6728344522622,-0.856664107153855,2.420044388844,2012
"Bus",43.1298488435622,5491,29.1421940039092,38.669014084507,42.359029517971,43.9006681691534,37.3809072864542,39.9571208825598,2012
"Car",30.3666802776644,2449,29.5835661487018,17.2464788732394,29.1949916799534,31.5383688753753,15.750225508292,18.7427322381869,2012
"Metro",55.1412300683371,1756,30.5124230917591,12.3661971830986,53.7140771388026,56.5683829978717,10.8264559918832,13.905938374314,2012
"Metroplus",38.9117647058824,34,20.5888578973851,0.23943661971831,31.991083107643,45.8324463041217,-1.40338854110252,1.88226178053914,2012
"Motorcycle",30.4473398479913,1842,18.797173385997,12.9718309859155,29.5889119845415,31.3057677114412,11.4374195648664,14.5062424069646,2012
"Others",46.8782894736842,304,53.4039496416554,2.14084507042254,40.874953387357,52.8816255600114,0.513751122509797,3.76793901833527,2012
"Taxi",27.2102040816327,490,30.0503785922407,3.45070422535211,24.549430136381,29.8709780268843,1.83453640825721,5.06687204244701,2012
"Walking",19.5316308763784,1723,19.2032200968741,12.1338028169014,18.6248810267648,20.438380725992,10.5920213726555,13.6755842611473,2012
"Bicycle",37.1428571428571,7,13.4960311626366,0.0928874734607219,27.1448573428972,47.1408569428171,-2.1638644960132,2.34963944293465,2017
"Bus",42.0034079844206,2054,22.7739369597981,27.255838641189,41.0185038378731,42.9883121309682,25.3301560814008,29.1815212009771,2017
"Car",32.4666666666667,1155,18.201440385864,15.3264331210191,31.4169530354506,33.5163802978828,13.2488445196528,17.4040217223854,2017
"Metro",47.0918518518518,2025,23.8601503863713,26.8710191082803,46.0526097461343,48.1310939575694,24.9402497978866,28.8017884186739,2017
"Metroplus",40.0909090909091,44,19.8749792239975,0.583864118895966,34.2182280158121,45.9635901660061,-1.66733580766611,2.83506404545804,2017
"Motorcycle",30.554609929078,1410,17.1610807767093,18.7101910828025,29.6588509905631,31.450368867593,16.6745384192396,20.7458437463654,2017
"Others",35.2564102564103,39,28.277495188631,0.517515923566879,26.3814849827863,44.1313355300342,-1.73443507895996,2.76946692609372,2017
"Taxi",32.0103092783505,291,20.7020712833585,3.86146496815287,29.6316985327412,34.3889200239599,1.64768539173107,6.07524454457466,2017
"Walking",11.9315068493151,511,11.2307877554206,6.7807855626327,10.9577380814288,12.9052756172014,4.60087665579148,8.96069446947391,2017
