"Medio_reg","ID_COMUNA_O","mean_2017","mean_2012","mean_2012_mode","mean_2017_mode","diff_mean","diff_mean_percent"
"A pie",11,14.8780487804878,17.9885057471264,19.728102189781,20.6038011695906,-3.11045696663863,-17.2913582170965
"A pie",12,21.3888888888889,12.2,19.728102189781,20.6038011695906,9.18888888888889,75.3187613843352
"A pie",13,23.8727272727273,19.8076923076923,19.728102189781,20.6038011695906,4.06503496503496,20.522506619594
"A pie",14,20.4366197183099,16.2545454545455,19.728102189781,20.6038011695906,4.18207426376441,25.7286447994454
"A pie",15,25.7894736842105,25.2678571428571,19.728102189781,20.6038011695906,0.521616541353385,2.06434814952576
"A pie",16,19.8809523809524,17.1111111111111,19.728102189781,20.6038011695906,2.76984126984127,16.1873840445269
"A pie",17,18.2131147540984,17.5849056603774,19.728102189781,20.6038011695906,0.628209093721001,3.57243368746921
"A pie",18,21.6666666666667,17.0967741935484,19.728102189781,20.6038011695906,4.56989247311828,26.7295597484277
"A pie",19,21.0882352941176,18.6882352941176,19.728102189781,20.6038011695906,2.4,12.8423040604344
"A pie",20,21.4782608695652,27.8736842105263,19.728102189781,20.6038011695906,-6.3954233409611,-22.944305792723
"A pie",21,20.8666666666667,17.1190476190476,19.728102189781,20.6038011695906,3.74761904761905,21.8915159944367
"A pie",22,21.3541666666667,18.6666666666667,19.728102189781,20.6038011695906,2.6875,14.3973214285714
"A pie",30,13.6176470588235,12.3541666666667,19.728102189781,20.6038011695906,1.26348039215686,10.2271600039679
"A pie",31,23.3571428571429,27.0967741935484,19.728102189781,20.6038011695906,-3.73963133640553,-13.8010204081633
"A pie",32,17.7,24.9074074074074,19.728102189781,20.6038011695906,-7.20740740740741,-28.9368029739777
"A pie",33,15.7647058823529,17.8958333333333,19.728102189781,20.6038011695906,-2.13112745098039,-11.9085119495994
"A pie",44,30,19.728102189781,19.728102189781,20.6038011695906,10.271897810219,52.0673388215706
"A pie",45,36.25,19.728102189781,19.728102189781,20.6038011695906,16.521897810219,83.7480344093978
"A pie",46,31.5789473684211,19.728102189781,19.728102189781,20.6038011695906,11.85084517864,60.0708829700743
"Privado",11,33.7882352941176,26.6792452830189,25.9453152211773,32.3013833992095,7.10899001109878,26.6461436059572
"Privado",12,32.8525896414343,21.9795158286778,25.9453152211773,32.3013833992095,10.8730738127564,49.4691234215894
"Privado",13,36.7738095238095,30.0955414012739,25.9453152211773,32.3013833992095,6.67826812253564,22.1902242378433
"Privado",14,26.4462809917355,25.2093023255814,25.9453152211773,32.3013833992095,1.23697866615414,4.90683419230887
"Privado",15,32.4736842105263,25.2138364779874,25.9453152211773,32.3013833992095,7.25984773253889,28.7931102388048
"Privado",16,30.5,25.5116279069767,25.9453152211773,32.3013833992095,4.98837209302325,19.5533272561531
"Privado",17,28.6238532110092,24.1140350877193,25.9453152211773,32.3013833992095,4.50981812328988,18.7020467826499
"Privado",18,32.5522388059701,26.020618556701,25.9453152211773,32.3013833992095,6.53162024926912,25.1017101497268
"Privado",19,25.9619047619048,24.9019607843137,25.9453152211773,32.3013833992095,1.05994397759104,4.25646794150731
"Privado",20,32.2680412371134,28.2100840336134,25.9453152211773,32.3013833992095,4.05795720349996,14.3847753117812
"Privado",21,28.7586206896552,23.6056782334385,25.9453152211773,32.3013833992095,5.15294245621669,21.829249747704
"Privado",22,34.1895424836601,27.1379310344828,25.9453152211773,32.3013833992095,7.05161144917738,25.9843369791797
"Privado",30,27.5,27.6470588235294,25.9453152211773,32.3013833992095,-0.147058823529413,-0.531914893617026
"Privado",31,39.593023255814,37.2,25.9453152211773,32.3013833992095,2.39302325581395,6.43285821455363
"Privado",32,30.4711538461538,28.3488372093023,25.9453152211773,32.3013833992095,2.12231663685152,7.48643276329905
"Privado",33,33.5625,28.5483870967742,25.9453152211773,32.3013833992095,5.01411290322581,17.5635593220339
"Privado",44,56.4583333333333,25.9453152211773,25.9453152211773,32.3013833992095,30.513018112156,117.605116191652
"Privado",45,37.4375,25.9453152211773,25.9453152211773,32.3013833992095,11.4921847788227,44.2938722495939
"Privado",46,40.2777777777778,25.9453152211773,25.9453152211773,32.3013833992095,14.3324625566005,55.2410423015479
"Privado",47,47.6666666666667,25.9453152211773,25.9453152211773,32.3013833992095,21.7213514454894,83.7197438547974
"Privado",48,55,25.9453152211773,25.9453152211773,32.3013833992095,29.0546847788227,111.984319832458
"Publico",11,52.0943396226415,41.4221635883905,40.1896626297578,48.5915841584158,10.672176034251,25.7644099431883
"Publico",12,36.0344827586207,29.2481751824818,40.1896626297578,48.5915841584158,6.78630757613894,23.2024990748948
"Publico",13,50.529702970297,44.0873015873016,40.1896626297578,48.5915841584158,6.44240138299544,14.6128276193956
"Publico",14,39.7263157894737,36.2888888888889,40.1896626297578,48.5915841584158,3.43742690058479,9.47239501079703
"Publico",15,44.6071428571429,37.2569444444444,40.1896626297578,48.5915841584158,7.35019841269841,19.728398349088
"Publico",16,42.6551724137931,34.1498127340824,40.1896626297578,48.5915841584158,8.50535967971071,24.9060214354328
"Publico",17,45.6626506024096,36.8868613138686,40.1896626297578,48.5915841584158,8.77578928854103,23.7910979030399
"Publico",18,38.2295081967213,35.2804232804233,40.1896626297578,48.5915841584158,2.94908491629803,8.35898394091674
"Publico",19,37.410447761194,32.7421875,40.1896626297578,48.5915841584158,4.66826026119403,14.2576309575957
"Publico",20,47.76,39.8722358722359,40.1896626297578,48.5915841584158,7.88776412776413,19.7825979788021
"Publico",21,33.125,28.8728323699422,40.1896626297578,48.5915841584158,4.25216763005781,14.7272272272272
"Publico",22,47.9111111111111,39.746835443038,40.1896626297578,48.5915841584158,8.16427566807314,20.5406935598018
"Publico",30,50.7052023121387,35.7060810810811,40.1896626297578,48.5915841584158,14.9991212310577,42.0071897473088
"Publico",31,58.3475609756098,52.7074829931973,40.1896626297578,48.5915841584158,5.64007798241247,10.7007158416963
"Publico",32,49.7299270072993,39.9081364829396,40.1896626297578,48.5915841584158,9.82179052435963,24.6109976309176
"Publico",33,53.013986013986,46.7362204724409,40.1896626297578,48.5915841584158,6.27776554154507,13.4323346605378
"Publico",44,88,40.1896626297578,40.1896626297578,48.5915841584158,47.8103373702422,118.961778332625
"Publico",45,59.3589743589744,40.1896626297578,40.1896626297578,48.5915841584158,19.1693117292166,47.697120291383
"Publico",46,64.2777777777778,40.1896626297578,40.1896626297578,48.5915841584158,24.08811514802,59.9360969260397
"Publico",47,62.7083333333333,40.1896626297578,40.1896626297578,48.5915841584158,22.5186707035756,56.0310020788828
"Publico",48,64.0625,40.1896626297578,40.1896626297578,48.5915841584158,23.8728373702422,59.4004423231111
