"ID_COMUNA_D","k","empsit","factor_expansion","empcom","fe_empcom","sum_fe_empcom","emp"
11,88,168.56037082,85.55478861,6960.14970967,595474.13710477,18595778.5734341,293.587442337423
11,78,282.96254096,85.55478861,6960.14970967,595474.13710477,18595778.5734341,492.845668727539
11,97,684.72702379,85.55478861,6960.14970967,595474.13710477,18595778.5734341,1192.61279882027
11,94,271.45668577,85.55478861,6960.14970967,595474.13710477,18595778.5734341,472.805521801521
11,95,1166.57371752,85.55478861,6960.14970967,595474.13710477,18595778.5734341,2031.86189232161
11,107,851.02302306,85.55478861,6960.14970967,595474.13710477,18595778.5734341,1482.25630671668
11,118,188.93109438,85.55478861,6960.14970967,595474.13710477,18595778.5734341,329.067837874341
11,99,102.7235294,85.55478861,6960.14970967,595474.13710477,18595778.5734341,178.917132880683
11,115,539.02493349,85.55478861,6960.14970967,595474.13710477,18595778.5734341,938.838416227856
11,96,426.42441298,85.55478861,6960.14970967,595474.13710477,18595778.5734341,742.718185466765
11,112,359.38789523,85.55478861,6960.14970967,595474.13710477,18595778.5734341,625.958358149782
11,113,211.33879491,85.55478861,6960.14970967,595474.13710477,18595778.5734341,368.096106827847
11,104,171.10957722,85.55478861,6960.14970967,595474.13710477,18595778.5734341,298.027483512733
11,105,760.11947315,85.55478861,6960.14970967,595474.13710477,18595778.5734341,1323.92644194693
11,117,179.60208591,85.55478861,6960.14970967,595474.13710477,18595778.5734341,312.819180358179
11,114,428.21129457,85.55478861,6960.14970967,595474.13710477,18595778.5734341,745.83045908847
11,417,167.97325651,85.55478861,6960.14970967,595474.13710477,18595778.5734341,292.564844986729
12,231,208.61659992,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,385.007570368321
12,235,246.7464063,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,455.377158016705
12,236,1311.88561757,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,2421.12034428449
12,237,269.34064568,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,497.07543711506
12,238,531.65104048,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,981.176356327774
12,239,184.33374574,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,340.192907043182
12,240,60.4812,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,111.619688336834
12,242,90.65311489,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,167.302772279403
12,243,376.31480241,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,694.499132979201
12,244,762.47529839,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,1407.16875939675
12,245,643.10074384,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,1186.85979439243
12,246,277.87270518,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,512.821583392933
12,247,4143.9978413,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,7647.85995506737
12,248,1701.49000701,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,3140.14576910998
12,249,266.22032204,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,491.316795550295
12,250,1217.71463029,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,2247.32524348349
12,251,79.93884061,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,147.529289678381
12,252,2639.52314206,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,4871.31125828521
12,253,213.19749046,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,393.461727600319
12,254,1717.84385592,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,3170.3272390286
12,255,4382.66585625,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,8088.32822363165
12,256,998.91269031,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,1843.52035290489
12,257,1269.01108771,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,2341.99424128783
12,258,1805.98066585,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,3332.98610253311
12,259,673.48827978,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,1242.94081280719
12,260,1243.02126307,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,2294.02931786955
