"IdComunao","IdMunicipioo","IdSito","IdMunicipiod","IdSitd","Horao","Horad","MedioTTE2","Medios3","Medio_reg","dpie","dpub","dpri","Multimode","Number_modes","minutos","IdComunad","PrimeroDeFactorExpansion"
"15","10","95","10","95",1899-12-31 06:00:00,1899-12-31 06:05:00,"0","A pie + NA + NA","A pie",1,0,0,0,0,5,"15",76.6666666666667
"15","10","78","10","101",1899-12-31 07:00:00,1899-12-31 07:30:00,"6","Publico + NA + NA","Publico",0,1,0,0,1,30,"16",76.6666666666667
"15","10","78","10","1",1899-12-31 07:00:00,1899-12-31 07:40:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,40,"10",76.6666666666667
"15","10","78","10","1",1899-12-31 07:00:00,1899-12-31 07:30:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,30,"10",76.6666666666667
"15","10","78","10","14",1899-12-31 08:00:00,1899-12-31 08:30:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,30,"10",76.6666666666667
"15","10","78","10","53",1899-12-31 09:00:00,1899-12-31 09:20:00,"7","Privado + NA + NA","Privado",0,0,1,0,0,20,"14",76.6666666666667
"15","10","79","10","163",1899-12-31 06:00:00,1899-12-31 07:00:00,"1","A pie + Publico + Publico","Publico",1,1,0,0,1,60,"07",76.6666666666667
"15","10","83","10","1",1899-12-31 08:00:00,1899-12-31 08:20:00,"7","Privado + NA + NA","Privado",0,0,1,0,0,20,"10",76.6666666666667
"15","10","83","10","137",1899-12-31 06:30:00,1899-12-31 06:45:00,"6","Publico + NA + NA","Publico",0,1,0,0,1,15,"11",76.6666666666667
"15","10","83","10","6",1899-12-31 07:00:00,1899-12-31 07:15:00,"6","Publico + NA + NA","Publico",0,1,0,0,1,15,"10",76.6666666666667
"15","10","84","10","5",1899-12-31 07:00:00,1899-12-31 07:30:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,30,"10",76.6666666666667
"15","10","84","10","17",1899-12-31 07:30:00,1899-12-31 08:00:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,30,"10",76.6666666666667
"15","10","95","10","14",1899-12-31 05:30:00,1899-12-31 06:15:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,45,"10",76.6666666666667
"15","10","95","10","1",1899-12-31 08:50:00,1899-12-31 09:25:00,"7","Privado + NA + NA","Privado",0,0,1,0,0,35,"10",76.6666666666667
"15","10","95","10","95",1899-12-31 05:00:00,1899-12-31 05:05:00,"0","A pie + NA + NA","A pie",1,0,0,0,0,5,"15",76.6666666666667
"15","10","95","10","83",1899-12-31 06:30:00,1899-12-31 07:00:00,"1","A pie + Publico + NA","Publico",1,1,0,0,1,30,"15",76.6666666666667
"15","10","95","10","78",1899-12-31 07:00:00,1899-12-31 07:05:00,"0","A pie + NA + NA","A pie",1,0,0,0,0,5,"15",76.6666666666667
"15","10","95","10","165",1899-12-31 05:00:00,1899-12-31 05:50:00,"1","A pie + Publico + Publico","Publico",1,1,0,0,1,50,"07",76.6666666666667
