"","mean_2012","mean_adj_2012","mean_2017","mean_adj_2017"
"1",181.575569372454,0.695691836676068,182.58340940191,0.596677808502975
"2",182.339591927018,0.698619126157156,181.272205200348,0.592392827452118
"3",180.059761056132,0.689884141977518,181.085979017111,0.591784245153959
"4",182.703916447664,0.700015005546606,180.785754909674,0.590803120619851
"5",181.002886278144,0.693497648575264,180.243241559275,0.589030201174103
"6",182.618974426611,0.699689557190082,181.359743068337,0.592678898916133
"7",181.267760106778,0.694512490830566,179.58521451173,0.586879785986047
"8",182.525645572078,0.699331975371945,178.768783546468,0.58421171093617
"9",182.509101424262,0.699268587832423,180.71092901816,0.590558591562613
"10",181.604107180414,0.69580117693645,180.684815386344,0.59047325289655
"11",181.796462496982,0.696538170486523,180.095768074708,0.588548261682053
"12",182.47370799235,0.6991329808136,182.097789194217,0.595090814360188
"13",182.076736635698,0.697612017761296,179.939392278424,0.588037229668052
"14",183.443096099019,0.702847111490493,179.787384520776,0.587540472290118
"15",182.147150987944,0.69788180455151,180.794486753574,0.590831656057432
"16",181.489407894871,0.695361716072303,180.008934997933,0.588264493457297
"17",182.706935620529,0.700026573258733,178.225895480046,0.582437566928254
"18",185.542582785457,0.710891121783359,181.244268298105,0.592301530385966
"19",185.19268860376,0.709550531048888,182.514537743431,0.59645273772363
"20",183.118223855283,0.701602390250126,183.054806257538,0.598218321103064
"21",181.15703360388,0.694088251355861,179.033016211443,0.585075216377264
"22",177.871138525241,0.681498615039236,179.320501167525,0.586014709697794
"23",181.614647288254,0.695841560491395,180.821756374062,0.590920772464256
"24",182.419354322238,0.698924729203977,179.274621932912,0.585864777558535
"25",180.417958110162,0.691256544483378,175.542348522166,0.573667805627993
"26",181.980676423528,0.69724397097137,180.91046030179,0.591210654581014
"27",182.417427667352,0.69891734738449,180.305872808178,0.589234878458097
"28",183.002591589406,0.70115935474868,182.166993328933,0.595316971663181
"29",182.12583038619,0.697800116422186,180.954075584165,0.591353188183547
"30",182.80060215138,0.700385448855864,179.423273514379,0.586350567040454
"31",180.091020490208,0.690003909924169,178.110345491616,0.58205995258698
"32",181.905288839336,0.696955129652628,181.221492280825,0.592227098956943
"33",181.419385520013,0.695093431111159,182.419337259093,0.596141625029717
"34",180.166062685234,0.690291427912776,178.419925359668,0.583071651502183
"35",182.836779916137,0.700524060981369,181.318632144909,0.592544549493168
"36",179.413526563972,0.68740814775468,181.226954271342,0.592244948599157
"37",181.914760490457,0.696991419503666,178.606435829698,0.583681162842152
"38",182.080906911785,0.697627995830593,180.332810905998,0.589322911457508
"39",181.782291036098,0.696483873701526,179.963379287734,0.588115618587366
"40",183.031326248456,0.701269449227801,182.453408737694,0.596252969731025
"41",180.910053950359,0.693141969158462,180.393984886238,0.589522826425614
"42",179.017355633576,0.685890251469638,178.996351257834,0.584955396267431
"43",181.111641781588,0.693914336327921,178.020145382647,0.581765180989044
"44",179.469548610699,0.687622791611872,180.634268684795,0.590308067597368
"45",180.026350892908,0.689756133689304,179.699816010837,0.587254300689011
"46",181.344617927693,0.694806965240202,178.059894486112,0.581895080019972
"47",182.450934846844,0.699045727382546,179.577688238482,0.586855190321838
"48",181.683090069703,0.696103793370511,179.627744454717,0.587018772727834
"49",181.349691922078,0.694826405831716,180.95809870112,0.591366335624576
"50",183.281417936831,0.702227654930386,181.662000844382,0.593666669426085
"51",181.817716004705,0.696619601550593,180.661622658441,0.590397459668109
"52",182.587181926024,0.699567746843003,181.966557679838,0.594661953202085
"53",179.008618123817,0.685856774420756,179.667067115805,0.587147278156226
"54",179.855150845455,0.689100194810172,178.637009622536,0.583781077197831
"55",180.07340948656,0.689936434814405,179.255568790706,0.585802512387927
"56",181.014001656229,0.693540236230762,180.479790303338,0.589803236285417
"57",181.082332873899,0.693802041662448,178.89520867986,0.584624864966862
"58",180.334120028176,0.690935325778454,181.095307194876,0.59181472939502
"59",180.702070175188,0.692345096456657,179.290505055344,0.585916683187399
"60",181.52787928583,0.695509116037664,181.158683423264,0.592021841252498
"61",178.668271992945,0.684552766256493,179.867698734807,0.587802937041852
"62",180.562496783738,0.691810332504743,180.549986535039,0.590032635735422
"63",180.693833256532,0.692313537381349,180.436274328053,0.589661027215858
"64",181.147067797832,0.694050068190926,181.381565759295,0.592750214899657
"65",183.886360766764,0.70454544355082,180.05118517427,0.588402565928987
"66",181.022386771672,0.693572363109855,179.711209985491,0.587291535900296
"67",181.573693097202,0.695684647881998,181.046971730004,0.59165677035949
"68",180.499012386272,0.691567097265408,179.901650941287,0.58791389196499
"69",180.806826430885,0.692746461421015,178.823581233632,0.584390788345203
"70",181.242075386553,0.694414081940818,179.115775278293,0.585345670844095
"71",178.883566040197,0.685377647663589,179.934930732824,0.588022649453674
"72",181.532294901765,0.695526034106378,180.61375349599,0.5902410244967
"73",182.208628716375,0.698117351403734,177.879738876407,0.58130633619741
"74",182.270781750103,0.698355485632579,181.734309625657,0.593902972632866
"75",180.566720770355,0.691826516361515,181.037719951893,0.591626535790501
"76",178.820415356739,0.685135691021989,179.212776059578,0.585662666861367
"77",179.906629127814,0.689297429608483,179.397053867822,0.586264881920988
"78",180.551590574061,0.691768546260769,179.870506319824,0.587812112156286
"79",178.93854514504,0.685588295574864,181.279070287589,0.59241526237774
"80",182.073486589338,0.697599565476392,180.699361267914,0.590520788457237
"81",182.396663986973,0.698837793053538,180.132848960082,0.588669441046019
"82",180.703284732606,0.692349749933355,180.679987484763,0.590457475440403
"83",182.695400419297,0.699982377085429,178.631993565694,0.583764684855208
