"IdComunao","IdMunicipioo","IdSito","IdMunicipiod","IdSitd","Horao","Horad","MedioTTE2","Medios3","Medio_reg","dpie","dpub","dpri","Multimode","Number_modes","minutos","IdComunad","PrimeroDeFactorExpansion"
"03","10","223","10","157",1899-12-31 06:30:00,1899-12-31 07:10:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,40,"07",41.3085106382979
"03","10","223","10","67",1899-12-31 07:00:00,1899-12-31 07:50:00,"3","A pie + Publico + Publico","Publico",1,1,0,1,2,50,"14",41.3085106382979
"03","10","223","10","83",1899-12-31 07:30:00,1899-12-31 08:00:00,"6","A pie + Publico + A pie","Publico",1,1,0,0,1,30,"15",41.3085106382979
"03","10","223","10","96",1899-12-31 06:00:00,1899-12-31 06:50:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,50,"16",41.3085106382979
"03","10","223","10","141",1899-12-31 05:00:00,1899-12-31 06:00:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,60,"11",41.3085106382979
"03","10","223","10","131",1899-12-31 05:00:00,1899-12-31 05:50:00,"3","A pie + Publico + Publico","Publico",1,1,0,1,2,50,"12",41.3085106382979
"03","10","214","10","6",1899-12-31 07:00:00,1899-12-31 07:50:00,"1","A pie + Publico + Privado","Publico",1,1,1,0,1,50,"10",41.3085106382979
"03","10","219","10","7",1899-12-31 07:00:00,1899-12-31 07:20:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,20,"10",41.3085106382979
"03","10","219","10","211",1899-12-31 06:30:00,1899-12-31 06:45:00,"0","A pie + NA + NA","A pie",1,0,0,0,0,15,"04",41.3085106382979
"03","10","237","10","198",1899-12-31 06:30:00,1899-12-31 07:00:00,"2","A pie + Publico + A pie","Publico",1,1,0,0,1,30,"02",41.3085106382979
"03","10","237","10","83",1899-12-31 06:00:00,1899-12-31 07:30:00,"3","A pie + Publico + A pie","Publico",1,1,0,1,2,90,"15",41.3085106382979
"03","10","219","10","68",1899-12-31 06:00:00,1899-12-31 07:00:00,"3","A pie + Publico + Publico","Publico",1,1,0,1,2,60,"14",41.3085106382979
"03","10","219","10","13",1899-12-31 09:00:00,1899-12-31 09:20:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,20,"10",41.3085106382979
"03","10","219","10","69",1899-12-31 05:00:00,1899-12-31 05:45:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,45,"14",41.3085106382979
"03","10","219","10","7",1899-12-31 11:00:00,1899-12-31 11:30:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,30,"10",41.3085106382979
"03","10","219","10","27",1899-12-31 06:30:00,1899-12-31 07:00:00,"8","Privado + NA + NA","Privado",0,0,1,0,0,30,"08",41.3085106382979
"03","10","219","26","279",1899-12-31 05:00:00,1899-12-31 06:00:00,"3","A pie + Publico + Publico","Publico",1,1,0,1,2,60,NA,41.3085106382979
"03","10","219","10","8",1899-12-31 07:00:00,1899-12-31 07:20:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,20,"10",41.3085106382979
"03","10","219","10","213",1899-12-31 09:30:00,1899-12-31 09:35:00,"8","Privado + NA + NA","Privado",0,0,1,0,0,5,"03",41.3085106382979
"03","10","219","21","259",1899-12-31 05:05:00,1899-12-31 06:00:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,55,"51",41.3085106382979
"03","10","219","10","9",1899-12-31 05:30:00,1899-12-31 05:45:00,"1","A pie + Publico + A pie","Publico",1,1,0,0,1,15,"10",41.3085106382979
"03","10","219","10","68",1899-12-31 07:30:00,1899-12-31 07:50:00,"8","Privado + NA + NA","Privado",0,0,1,0,0,20,"14",41.3085106382979
"03","10","213","25","301",1899-12-31 07:00:00,1899-12-31 08:00:00,"3","A pie + Publico + A pie","Publico",1,1,0,0,1,60,"04",41.3085106382979
"03","10","213","10","134",1899-12-31 07:20:00,1899-12-31 08:00:00,"3","Privado + Publico + A pie","Publico",1,1,1,0,1,40,"12",41.3085106382979
