"Distance","fix_cost_2012","var_cost_2012","fix_cost_2017","var_cost_2017"
7,2316.63777067202,402.413270767307,2895.797213336,503.016588459133
8,1945.39334117642,404.294011942704,2431.74167646607,505.367514928375
9,1799.33389700184,378.629172369596,2249.16737124763,473.286465461998
10,1853.90231627985,331.331384212159,2317.3778953454,414.164230265193
10.2,1882.9764982841,320.531829623566,2353.72062285056,400.664787029461
11,2055.79674080213,270.864124376827,2569.74592599851,338.580155471029
12,2343.56948161015,205.55137139556,2929.46185200914,256.939214244448
13,2659.30798857795,142.957247469707,3324.13498571947,178.696559337136
