"IdComunao","Medio_reg","minutes_all","minutes_early","minutes_very_early","ratio_7_all","ratio_5_all","ratio_7_5"
"01","Privado",37.1733333333333,37.5,37.2,1.00878766140603,1.00071736011478,1.00806451612903
"01","Publico",53.244094488189,49.0725806451613,52.7074829931973,0.921653023060557,0.989921671123344,0.93103631322131
"02","Privado",27.525,26.8,28.5483870967742,0.973660308810173,1.03718027599543,0.938757062146893
"02","Publico",47.0097087378641,41.2626262626263,46.7362204724409,0.877746903149629,0.994182302490999,0.882883250838773
"03","Privado",29.9723756906077,27.4264705882353,30.0955414012739,0.915058281377067,1.00410930758167,0.911313414254591
"03","Publico",43.931914893617,41.1964285714286,44.0873015873016,0.937733505839376,1.00353698886244,0.934428442844284
"04","Privado",24.5507246376812,23.2727272727273,24.1140350877193,0.947944617366105,0.982212763313242,0.965111280134925
"04","Publico",36.8588235294118,36.0212765957447,36.8868613138686,0.977276894554197,1.00076068039541,0.976534064236078
"05","Privado",26.875,26.5972222222222,27.6470588235294,0.989664082687339,1.02872777017784,0.962027186761229
"05","Publico",35.5459940652819,33.9941176470588,35.7060810810811,0.956341735291662,1.00450365842928,0.952054009227875
"06","Privado",27.416149068323,27.7375,28.3488372093023,1.01172122791119,1.03401966259576,0.978435192780968
"06","Publico",40.6303418803419,38.7869822485207,39.9081364829396,0.954630959364065,0.982224973653208,0.971906625234225
"07","Privado",26.1818181818182,25.7888888888889,26.6792452830189,0.984992283950617,1.01899895178197,0.966627377023417
"07","Publico",41.4134199134199,36.8793103448276,41.4221635883905,0.890515934736337,1.00021113143973,0.890327958512622
"08","Privado",27.5838926174497,26.3965517241379,28.2100840336134,0.956955281483346,1.02270134331105,0.935713331895268
"08","Publico",39.5496828752643,38.1428571428571,39.8722358722359,0.964428899800686,1.00815564053924,0.956626993908236
"09","Privado",25.3134328358209,24.8705882352941,25.2138364779874,0.982505549389567,0.996065474071437,0.986386512699368
"09","Publico",37.2080924855491,34.8903225806452,37.2569444444444,0.937707908412554,1.0013129390848,0.936478369359348
"10","Privado",24.6795366795367,22.6842105263158,24.9019607843137,0.919150582965549,1.00901249110408,0.910940737670949
"10","Publico",32.8713136729223,31.6928571428571,32.7421875,0.964149393547485,0.996071767188647,0.967951733306064
"11","Privado",23.0953545232274,22.6747572815534,23.6056782334385,0.98178866484812,1.02209637915269,0.960563685454019
"11","Publico",29.7584541062802,27.622641509434,28.8728323699422,0.928228375398187,0.970239659184746,0.956700096322738
"12","Privado",25.1274900398406,24.2595419847328,26.020618556701,0.965458227075938,1.03554388104201,0.932319957416436
"12","Publico",35.3035714285714,34.04,35.2804232804233,0.964208396560445,0.999344311433335,0.964841031793641
"13","Privado",26.6521739130435,25.015873015873,27.1379310344828,0.938605349698335,1.01822579737864,0.921804723583631
"13","Publico",38.972972972973,36.1744966442953,39.746835443038,0.92819443539454,1.01985638792816,0.910122686273672
"14","Privado",21.9565789473684,21.5322997416021,21.9795158286778,0.980676442956647,1.00104464731798,0.979653051024342
"14","Publico",30.130890052356,26.9634146341463,29.2481751824818,0.894876141637177,0.970703989548916,0.921883654823571
"15","Privado",24.2883435582822,26.2876712328767,25.2093023255814,1.08231634527883,1.03791772646369,1.0427766263964
"15","Publico",35.2699386503067,34.1590909090909,36.2888888888889,0.968504403927956,1.02889004851085,0.941309914824918
"16","Privado",25.8106666666667,26.0687830687831,25.5116279069767,1.01000037718707,0.98841414041908,1.02183926340718
"16","Publico",34.6751592356688,33.0476190476191,34.1498127340824,0.953063223820021,0.984849485534706,0.967724751668599
