"","year","comuna","SIT","ta","percap","mode","strata","name_comuna","pop","men","women","pmen","pwomen","age_0_5","age_6_10","age_11_15","age_16_17","age_18_24","age_25_40","age_41_65","age_65m","page_0_5","page_6_10","page_11_15","page_16_17","page_18_24","page_25_40","page_41_65","page_65m","employees","laborincome","estratomoda"
"1",2012,1,296,149.842849399991,0.574110534099581,"public",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"2",2012,1,150,200.817294304744,0.769414920707831,"Private",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"3",2012,1,200,224.044681421315,0.858408741077836,"public",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"4",2012,1,285,178.627024195413,0.684394728718058,"Private",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"5",2012,1,296,174.977185715957,0.670410673241214,"Private",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"6",2012,1,32,157.724385673834,0.604307991087485,"public",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"7",2012,1,64,189.348247520904,0.725472212723769,"Private",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"8",2012,1,32,178.730277901913,0.684790336788941,"Private",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"9",2012,1,64,211.684935328223,0.811053392062157,"public",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"10",2012,1,53,163.192757059143,0.625259605590586,"public",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"11",2012,1,233,177.5601173122,0.680306962881992,"Private",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"12",2012,1,43,178.198403692497,0.682752504568956,"Private",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
