"ID_COMUNA_O","Medio_reg","minutes_all","minutes_early","minutes_very_early","ratio_7_all","ratio_5_all","ratio_7_5"
"11","Privado",31.850622406639,32.1285714285714,33.7882352941176,1.00872664334103,1.06083438065169,0.950880421806606
"11","Publico",51.9966101694915,48.1012658227848,52.0943396226415,0.925084648133615,1.00187953508568,0.923349180951682
"12","Privado",31.7005494505494,32.2316384180791,32.8525896414343,1.01675330480811,1.03634133195962,0.981098865260472
"12","Publico",34.9268292682927,36.1363636363636,36.0344827586207,1.03463052310818,1.03171354267001,1.00282731622445
"13","Privado",35.5338983050847,37.34375,36.7738095238095,1.05093310279036,1.03489375716898,1.01549854321787
"13","Publico",50.2261904761905,45.5301204819277,50.529702970297,0.90650156920643,1.00604291289522,0.901056562883256
"14","Privado",26.1904761904762,25.328125,26.4462809917355,0.967073863636364,1.00976709241172,0.9577197265625
"14","Publico",41.7230769230769,37.9444444444444,39.7263157894737,0.909435431006227,0.952142524452725,0.955146322793382
"15","Privado",29.3669724770642,32.9459459459459,32.4736842105263,1.12187069919029,1.10578930926191,1.01454290595295
"15","Publico",45.3248407643312,41.3230769230769,44.6071428571429,0.911709257577723,0.984165462137637,0.926378025497321
"16","Privado",30.3594470046083,32.4756097560976,30.5,1.06970360004146,1.00462962962963,1.06477409036385
"16","Publico",44.1465517241379,38.5,42.6551724137931,0.872095293887913,0.966217535637571,0.902586903799515
"17","Privado",27.3558282208589,29.952380952381,28.6238532110092,1.09491771590897,1.04635301040469,1.04641330891331
"17","Publico",45.8139534883721,45.0735294117647,45.6626506024096,0.983838459241565,0.996697449697266,0.987098401365823
"18","Privado",30.5245901639344,30.9189189189189,32.5522388059701,1.01291839637704,1.06642672780031,0.949824652713236
"18","Publico",37.224358974359,32.9821428571429,38.2295081967213,0.886036556864867,1.02700245887524,0.862740443518745
"19","Privado",26.5045454545455,24.8095238095238,25.9619047619048,0.936047888543172,0.979526504479343,0.955612619222304
"19","Publico",37.540404040404,33.875,37.410447761194,0.902361092425669,0.996538229075261,0.905495711151007
"20","Privado",31.3178294573643,32.4888888888889,32.2680412371134,1.03739273927393,1.03034092069001,1.00684416045438
"20","Publico",48.7964601769912,47.375,47.76,0.970869604642728,0.978759521218716,0.991938860971524
"21","Privado",26.3571428571429,29.1770833333333,28.7586206896552,1.10698961156278,1.09111298009532,1.01455085931255
"21","Publico",32.0272727272727,31.875,33.125,0.995245529378371,1.03427476582458,0.962264150943396
"22","Privado",32.9593908629442,32.5151515151515,34.1895424836601,0.986521615352664,1.03732325108287,0.951026224778853
"22","Publico",46.9125,44.1756756756757,47.9111111111111,0.941661085545978,1.02128667436421,0.922034047034047
"30","Privado",26.4576271186441,27.5526315789474,27.5,1.04138710003709,1.03939782190903,1.00191387559809
"30","Publico",49.2707423580786,46.9253731343284,50.7052023121387,0.952398338009501,1.02911382872284,0.925454805316781
"31","Privado",37.8571428571429,36.8536585365854,39.593023255814,0.973492867004142,1.0458534444932,0.930811933669997
"31","Publico",58.3444976076555,49.0384615384615,58.3475609756098,0.840498479706287,1.00005250483044,0.84045435179305
"32","Privado",29.6458333333333,26.8809523809524,30.4711538461538,0.906736271458689,1.02783934266717,0.882177042479977
"32","Publico",48.4130434782609,47.2549019607843,49.7299270072993,0.976077903096578,1.02720100688629,0.950230672042779
"33","Privado",31.5,30.3333333333333,33.5625,0.962962962962963,1.06547619047619,0.903786468032278
"33","Publico",52.8076923076923,52.5892857142857,53.013986013986,0.995864114036001,1.00390650864067,0.991988900823487
