"k","tapriv2012","tapriv2012_percap"
"100",162.960608170365,0.624370146246608
"101",169.207184950357,0.648303390614396
"102",180.866215203317,0.692974004610409
"103",190.664912957576,0.730516907883434
"104",185.721100486479,0.711575097649345
"105",192.050161164404,0.735824372277408
"107",197.104429736435,0.755189385963353
"108",161.625915751644,0.619256382190207
"109",156.232467319915,0.598591828811936
"110",151.337397442061,0.579836771808664
"111",171.204530899887,0.655956057087689
"112",168.162342982847,0.644300164685239
"113",172.53445351804,0.661051546046131
"115",178.779910668951,0.684980500647323
"116",179.051207300922,0.686019951344528
"117",162.843077468851,0.623919837045406
"118",168.055896973733,0.643892325569857
"119",154.471127251307,0.591843399430295
"120",169.691070297411,0.650157357461347
"121",175.025825207557,0.670597031446579
"122",179.475693168446,0.687646333978721
"123",189.375961024282,0.725578394729051
"124",187.048705564691,0.716661707144411
"125",167.986044105691,0.64362469006012
"126",182.566675812704,0.699489179359021
"127",192.282572411176,0.73671483682443
"128",197.135538389461,0.755308576204833
"129",205.038109565202,0.785586626686598
"130",198.923439144412,0.762158770668245
"131",197.68137238354,0.757399894189808
"132",190.665798517937,0.730520300835009
"133",212.232118777599,0.813149880373944
"134",208.251510333408,0.79789850702455
"135",211.550817655564,0.810539531247373
"136",219.381295926412,0.840541363702727
"137",216.59266794068,0.829856965289961
"138",192.601497471314,0.737936771920743
"139",217.463622726498,0.833193956806507
"140",218.422235430169,0.836866802414442
"141",227.26729720068,0.870755927971952
"142",227.128080367822,0.870222530144911
"143",229.702213633042,0.880085109705142
"144",226.992330460719,0.86970241555831
"145",220.700644469052,0.845596338961887
"146",212.041744119308,0.812420475552902
"148",181.869020336833,0.696816169872922
"149",225.144709498812,0.862623408041427
"150",232.181709497077,0.889585093858532
"151",232.913658779389,0.892389497239036
"152",230.250785260211,0.882186916705789
"153",243.808825688369,0.934133431756203
"154",241.752644048026,0.926255341180177
"155",239.415137864908,0.917299378792753
"156",233.69640702365,0.895388532657665
"157",228.098058187899,0.873938920260148
"158",223.121296256712,0.854870866883953
"159",231.922372380993,0.888591465061277
"16",151.234638847442,0.57944306071817
"160",230.810220961646,0.884330348512053
"161",237.239843461021,0.908964917475177
"162",249.826676961311,0.957190333185099
"163",251.606356929211,0.964009030380117
"164",250.849667573672,0.961109837447021
"165",246.941673579056,0.946136680379525
"166",236.108302738114,0.904629512406567
"167",233.040956083155,0.89287722637224
"168",229.205456660773,0.878181826286488
"169",240.434960663546,0.921206745837341
"17",168.026797418612,0.6437808330215
"170",249.46101380229,0.95578932491299
"171",246.064615744255,0.942776305533543
"172",243.005232051887,0.931054528934433
"173",239.062134819039,0.915946876701301
"174",232.512658015241,0.890853095843836
"175",247.055654286104,0.946573388069365
"176",243.669378332337,0.933599150698611
"177",247.283075982543,0.9474447355653
"178",241.44974785883,0.925094819382489
"179",239.846673944224,0.918952773732658
"18",177.255781746338,0.679140926231178
"180",230.261584046538,0.882228291366046
"181",236.409228638076,0.905782485203357
"182",234.438152417392,0.898230469032154
"183",234.417371297545,0.898150847883313
"184",237.958612631404,0.911718822342546
"185",226.251768674027,0.866865014076731
"186",225.274863242754,0.863122081389864
"187",225.041098356719,0.862226430485514
"188",218.026541275178,0.835350732855088
"189",233.685315348159,0.895346035816703
"19",180.482374776745,0.691503351635039
"190",232.823408907658,0.892043712289876
"191",230.445477682785,0.882932864684998
"192",216.330308460148,0.828851756552289
"193",222.742368164454,0.853419035112851
"194",220.180513764669,0.843603501014058
"195",223.874625224804,0.857757184769366
"196",223.703907325767,0.857103093202174
"197",222.159751465773,0.851186787225185
"198",223.491307094616,0.856288532929564
"199",206.048848919412,0.789459191262113
"20",186.22720627866,0.713514200301378
"200",208.506325567035,0.798874810601668
"201",204.557318977653,0.783744517155759
"202",218.455059524972,0.836992565229777
"203",209.466194932679,0.802552471006434
"204",200.605909819369,0.768605018465015
"205",188.144908416043,0.720861718069129
"206",205.196836924926,0.786194777490139
"207",201.430062652438,0.771762692154936
"208",203.616232204522,0.78013882070698
"209",201.536111514499,0.772169009634096
"21",187.158779842539,0.717083447672564
"210",206.46511279842,0.791054072024598
"211",202.022999724918,0.774034481704665
"212",208.704063177961,0.799632425969199
"213",202.300665457704,0.77509833508699
"214",200.945484337396,0.769906070258222
"215",173.007100132088,0.662862452613363
"216",182.084618812271,0.697642217671536
"217",189.192165712863,0.724874198133574
"218",194.356407917752,0.744660566734683
"219",195.061236513822,0.747361059439933
"22",200.29491460705,0.767413465927395
"220",199.585008511409,0.764693519200802
"221",188.690176911375,0.722950869392242
"222",181.273311662994,0.694533761160895
"223",183.232234670793,0.702039213298059
"225",175.037879955061,0.670643218218624
"226",165.290563453885,0.633297177984232
"227",160.494617510554,0.614921906170706
"229",183.469929372341,0.702949920966824
"230",176.024961973158,0.674425141659611
"231",169.611856106465,0.649853854814042
"232",166.063163826999,0.636257332670494
"233",179.898731683594,0.689267171201511
"234",195.335044835669,0.748410133469996
"235",195.546505243756,0.749220326604428
"236",185.306971556411,0.709988396767859
"237",178.62183077577,0.684374830558507
"238",177.223191264219,0.679016058483598
"239",204.504111838661,0.783540658385675
"240",201.338100465252,0.77141034661016
"241",197.638385708512,0.757235194285488
"242",191.121665328236,0.732266916966423
"243",192.606026436308,0.73795412427704
"244",184.246600803741,0.70592567357755
"245",218.686470436891,0.83787919707621
"246",216.248929820787,0.828539960999185
"247",214.956699958921,0.823588888731498
"248",205.140913390206,0.785980511073585
"249",200.796187656455,0.769334052323582
"250",191.812227173216,0.734912747790099
"251",195.915821362475,0.750635330890709
"252",231.319010334326,0.88627973308171
"253",223.060363960133,0.85463740980894
"254",217.750090217877,0.834291533401827
"255",219.333126338198,0.840356805893479
"256",208.993364601039,0.800740860540378
"257",201.682884618992,0.772731358693457
"258",196.709675856167,0.753676918989144
"259",220.028028319508,0.843019265591986
"260",217.09101276485,0.831766332432376
"261",207.442386596681,0.794798416079239
"263",215.556043294368,0.82588522335007
"264",226.467016130527,0.867689716975198
"268",221.371280167245,0.848165824395574
"270",216.66340658774,0.83012799458904
"271",213.95432643222,0.819748377134942
"272",204.01250465503,0.78165710595797
"273",207.643755036443,0.795569942668365
"274",194.919829500514,0.746819270116911
"279",223.048152518956,0.854590622677993
"283",205.472303328101,0.787250204322224
"284",204.803914966942,0.784689329375257
"285",184.971972331716,0.708704874834161
"288",209.849445844227,0.804020865303551
"289",192.431668702323,0.737286086982081
"293",201.90349206307,0.773576597942798
"294",199.455577958974,0.76419761670105
"295",193.173311524586,0.740127630362397
"296",177.743763579767,0.681010588428227
"297",221.185040702725,0.847452263228833
"30",164.744300962994,0.631204218249018
"303",198.27107951884,0.759659308501301
"304",193.535899740476,0.741516857243204
"305",184.599343163248,0.707277176870683
"309",213.656031531052,0.818605484793302
"31",169.787394658621,0.650526416316556
"312",192.965382755551,0.739330968412073
