"k","tapriv2017","tapriv2017_percap"
"1",114.195973108355,0.373189454602467
"10",137.974861242741,0.450898239355364
"100",145.432257499688,0.475268815358456
"101",148.826324654671,0.48636053808716
"102",164.770008364988,0.538464079624144
"103",174.206872147657,0.569303503750512
"104",171.18491019945,0.559427811109313
"105",178.986683600393,0.584923802615662
"106",170.064602981237,0.55576667640927
"107",182.53448731279,0.59651793239474
"108",143.089336280557,0.467612210067179
"109",138.26426844835,0.451844014537091
"110",133.776499464702,0.437178102825824
"111",154.566685827691,0.505119888325787
"112",150.243645700016,0.490992306209203
"113",156.927212856239,0.512834028941957
"114",148.463675573222,0.485175410370008
"115",161.259714282344,0.526992530334458
"117",143.799786653207,0.469933943311133
"118",150.630694729001,0.492257172316998
"119",138.915967382227,0.453973749615121
"12",155.319672125632,0.507580627861543
"120",153.479900519173,0.501568302350237
"121",161.361585521794,0.527325442881678
"122",170.769708448134,0.55807094264096
"123",178.671615429998,0.583894168071888
"124",174.342794698703,0.5697476950938
"126",172.237688622193,0.562868263471218
"127",180.870855875427,0.59108122835107
"128",187.824295360265,0.613804886798251
"129",195.880983455603,0.640133932861449
"13",121.302676937606,0.39641397692028
"130",189.35864509902,0.618819101630784
"131",187.848218317098,0.613883066395746
"132",179.361001584841,0.58614706400275
"133",202.192781128002,0.66076072264053
"134",201.547199274949,0.658650978022708
"135",211.572578634536,0.691413655668419
"136",214.564601483473,0.701191508115926
"137",214.608482593806,0.701334910437275
"138",181.429100800695,0.592905558172206
"139",210.378996133389,0.687513059259442
"14",123.742590089524,0.404387549312169
"140",216.573351894867,0.70775605194401
"141",223.642054760118,0.730856388104961
"142",223.863529420439,0.731580161504702
"143",226.832445671052,0.741282502192981
"144",230.5380337033,0.753392267004249
"145",218.735348015804,0.714821398744459
"146",205.402873694852,0.671251221225005
"148",168.938632724442,0.552087035047196
"149",218.9600934499,0.715555860947385
"15",135.159675790325,0.441698286896487
"150",229.127134980491,0.748781486864348
"151",228.222906585976,0.745826492111031
"152",225.037243354921,0.735415827957257
"153",242.089278936872,0.791141434434223
"154",242.498416751819,0.792478486117057
"155",237.673919884421,0.776712156485035
"156",233.403479351897,0.762756468470252
"157",229.510099856744,0.75003300606779
"158",216.990921538186,0.709120658621524
"159",227.486497463153,0.743419926350174
"16",139.719328881225,0.456599113990931
"160",225.366691584527,0.736492456158586
