"k","tapriv2017","tapriv2017_percap"
"1",120.27561994418,0.393057581516929
"10",143.769590529617,0.469835263168684
"100",152.238367711217,0.497511005592213
"101",155.12511551608,0.506944821947975
"102",170.321501208941,0.556606213101115
"103",179.337766892007,0.58607113363401
"104",176.670354904933,0.577354100996514
"105",183.848474800816,0.600812009152993
"106",175.454100728198,0.573379414144439
"107",187.321945650391,0.612163221079708
"108",149.780406218443,0.489478451694259
"109",144.568827368491,0.472447148263041
"110",139.901883432734,0.457195697492595
"111",160.189807407163,0.523496102637786
"112",156.558316875924,0.511628486522629
"113",162.845096725707,0.532173518711462
"114",154.568582904677,0.50512608792378
"115",167.180789665653,0.546342449887756
"117",150.326403327909,0.491262755973557
"118",156.910850199079,0.512780556206139
"119",144.786489890542,0.473158463694583
"12",160.923416819284,0.525893519017267
"120",159.461496549773,0.521116001796644
"121",167.283153623546,0.546676972625967
"122",175.569497214992,0.57375652684638
"123",183.481310233934,0.599612124947498
"124",179.431237551411,0.586376593305264
"126",176.186842955162,0.575773996585497
"127",185.217284213581,0.605285242528043
"128",192.181428289233,0.628043883298146
"129",199.515016592652,0.652009858145922
"13",128.303444906799,0.41929230361699
"130",193.186448038309,0.631328261563103
"131",191.788367582517,0.626759371184697
"132",183.713580325769,0.600371177535194
"133",205.011437226823,0.669972017081121
"134",204.214333447969,0.667367102771142
"135",213.996603221922,0.699335304646805
"136",216.619680831408,0.707907453697413
"137",216.698789937417,0.708165980187637
"138",185.879457522344,0.60744920758936
"139",212.900823533473,0.695754325272786
"14",129.973691481356,0.424750625756065
"140",218.684664960115,0.714655767843514
"141",224.892361428132,0.734942357608276
"142",225.058720532847,0.735486014813225
"143",227.660920976054,0.74398993783024
"144",231.245438787755,0.755704048325997
"145",220.571472563336,0.720821805762538
"146",208.693411129571,0.682004611534546
"148",174.397402025937,0.56992615041156
"149",220.893286956428,0.721873486785711
"15",140.758642229809,0.459995562842514
"150",229.931398661317,0.751409799546788
"151",229.102296993283,0.748700316971515
"152",226.407707245776,0.739894468123451
"153",241.071479045663,0.787815290998897
"154",241.37807904577,0.788817251783562
"155",237.555867322774,0.776326363799916
"156",233.881474673867,0.764318544685841
"157",230.626213354996,0.753680435800641
"158",218.398894806441,0.713721878452421
"159",228.232661087071,0.745858369565591
"16",145.547650796276,0.475645917634887
"160",226.386720005554,0.739825882371091
"161",234.132172826786,0.765137819695379
"162",249.121312916921,0.814121937636996
"163",249.065979209108,0.813941108526498
"164",249.475373298137,0.81527899770633
"165",246.034672831727,0.804034878535056
"166",245.531316344048,0.802389922692968
"167",231.414089810938,0.756255195460582
"168",223.194209630833,0.729392841930826
"169",236.345970825101,0.772372453676799
"17",158.176736168189,0.516917438458133
"170",247.44542895515,0.80864519266389
"171",244.121563479724,0.797782887188639
"172",242.203998210585,0.791516334021519
"173",238.292944755096,0.778735113578746
"174",228.058873681568,0.745290436867871
"175",243.690620009976,0.796374575196001
"176",240.289392068109,0.785259451202972
"177",245.104863227308,0.800996285056562
"178",238.332986499395,0.778865968952273
"179",236.118237982095,0.771628228699657
"18",167.258635285374,0.546596847337824
"180",223.58892115879,0.730682748884933
"181",234.299924134194,0.765686026582333
"182",227.260740055617,0.742682157044501
"183",228.378278609516,0.746334243821949
"184",239.264547491244,0.781910285919097
"185",224.858674290192,0.734832268922195
"186",225.554232572684,0.737105335204848
"187",216.85849702911,0.70868789878794
"188",209.386659339519,0.684270128560521
"189",228.254001622209,0.745928109876501
"19",174.007620879593,0.568652355815662
"190",230.888728963219,0.754538329945161
"191",229.098160408253,0.74868679871978
"192",206.607757222569,0.675188749093362
"193",216.65389329102,0.70801925912098
"194",214.407889373255,0.700679377036782
"195",216.696193256424,0.708157494302038
"196",221.601690849456,0.724188532187765
"197",222.147543520738,0.725972364446858
"198",221.72560958464,0.724593495374639
"199",212.900429492857,0.695753037558357
"20",183.967696224388,0.601201621648327
"200",204.088324087082,0.666955307474123
"201",202.452492537788,0.661609452737871
"202",214.125546966654,0.699756689433509
"203",207.698233482263,0.67875239700086
"204",206.71493258496,0.675538995375685
"205",178.221385259867,0.582422827646624
"206",195.76596014134,0.639758039677582
"207",192.999859805274,0.630718496095668
"208",194.786791519377,0.636558142220187
"209",193.90332991687,0.633671012800229
"21",179.730679515093,0.587355161814028
"210",199.042111085948,0.650464415313556
"211",195.453400041651,0.638736601443304
"212",202.249873400425,0.660947298694198
"213",197.97421839943,0.646974569932776
"214",196.708889782151,0.642839509091997
"216",173.177573205591,0.565939781717619
"217",180.332391911475,0.589321542194361
"218",190.841627544212,0.62366544949089
"219",187.509820142086,0.612777190006818
"22",195.133323372572,0.637690599256772
"220",192.643553314441,0.629554095798827
"221",181.302017794436,0.592490254230182
"222",169.83626909579,0.555020487241144
"223",174.907569757379,0.571593365220191
"224",164.467911554316,0.537476835144825
"225",167.107789918536,0.546103888622665
"226",155.674715968884,0.508740901859097
"227",150.933762124639,0.49324758864261
"228",160.210379491706,0.52356333167224
"229",172.920566801046,0.565099891506688
"230",166.514490964192,0.544165003150954
"231",159.913516893894,0.522593192463707
"232",155.143027842158,0.507003358961301
"233",170.962500404078,0.558700981712674
"234",186.450430046861,0.609315130872093
"235",186.372284633356,0.609059753703777
"236",177.266629738712,0.579302711564417
"237",171.949120383718,0.561925230012151
"238",166.880408364021,0.545360811647126
"239",197.338705673793,0.644897730960107
"24",146.54511260399,0.478905596745066
"240",196.591791488149,0.64245683492859
"242",182.753533697771,0.597233770254152
"243",183.821400577441,0.600723531298827
"244",174.531088044121,0.570363032823924
"245",217.138091866626,0.709601607407273
"246",211.27809345087,0.690451285787158
"247",209.190674326495,0.68362965466175
"248",201.59114127447,0.658794579328332
"249",193.532942915969,0.632460597764606
"250",183.846159827805,0.600804443881714
"251",186.767654042406,0.610351810596098
"252",232.371934028452,0.759385405321738
"253",221.157507710038,0.722736953300776
"254",213.522261772764,0.69778516919204
"255",217.138971001123,0.709604480395825
"256",204.856683742215,0.669466286739264
"257",195.678282986106,0.63947151302649
"258",188.955193735218,0.617500633121628
"259",217.399494216337,0.710455863452081
"26",135.047647596659,0.441332181688427
"260",212.345916581354,0.693940903860633
"261",200.688701370178,0.655845429314307
"262",223.437354245078,0.730187432173458
"263",211.630270425188,0.691602190931986
"264",223.753154910535,0.731219460491944
"265",222.638529674355,0.727576894360636
"267",220.843337119061,0.721710252023076
"268",217.583506028667,0.711057209244008
"269",221.132503048773,0.72265523872148
"270",210.417398403495,0.687638556874166
"271",207.598485159778,0.678426422090777
"272",194.518579071914,0.635681630953967
"273",201.471999337183,0.6584052265921
"274",184.474695226399,0.602858481132024
"275",229.517519978357,0.75005725483123
"276",223.863751270803,0.731580886505891
"277",228.773496170312,0.747625804478142
"278",223.690266999109,0.731013944441534
"279",219.475959019979,0.717241696143724
"28",223.912674244352,0.73174076550442
"280",219.765925913721,0.718189300371636
"281",214.710205326741,0.701667337669088
"282",210.563353614698,0.688115534688555
"283",196.755869707061,0.642993038258369
