"k","tapriv2012","tapriv2012_percap"
"100",1038.11551663293,3.9774540867162
"101",1475.44805951553,5.65305769929322
"102",1193.16342241452,4.57150736557288
"103",1397.06809089812,5.35275130612307
"104",1310.83476877825,5.02235543593198
"105",1361.93050810192,5.21812455211462
"107",1395.33395976949,5.34610712555359
"108",990.394010221567,3.79461306598302
"109",828.795101310982,3.17546015827962
"110",762.839309707031,2.92275597588901
"111",966.894792150613,3.7045777477035
"112",1021.13039537504,3.91237699377411
"113",1070.19020110506,4.1003455981037
"115",1090.5852899584,4.17848770099002
"116",1101.96342281042,4.22208207973343
"117",917.377473935578,3.51485622197539
"118",926.672771406914,3.55047038853224
"119",715.397007230714,2.74098470203339
"120",970.545622444794,3.71856560323676
"121",1049.95118888943,4.0228014899978
"122",1010.54518797676,3.87182064358914
"123",1194.98914570104,4.57850247395036
"124",1155.94268981879,4.42889919470801
"125",726.456441117627,2.78335801194493
"126",914.314223183104,3.50311962905404
"127",1174.49702314992,4.49998859444415
"128",1382.21840743509,5.29585596718426
"129",1476.96107187268,5.65885468150453
"130",1270.36321793674,4.86729202274612
"131",1341.18855550744,5.13865346937717
"132",1145.0652111782,4.3872230313341
"133",1942.68648856229,7.4432432511965
"134",1422.70672254977,5.45098361130179
"135",1659.41859373331,6.35792564648778
"136",1868.24004742646,7.15800784454583
"137",1652.67885385668,6.33210288833976
"138",1197.82501671421,4.58936788013108
"139",1849.84024617045,7.08751052172588
"140",1881.5814697864,7.20912440531187
"141",2190.33037368825,8.39207039727299
"142",2326.74727735324,8.91474052625761
"143",2470.1736130162,9.46426671653716
"144",2176.05615359536,8.3373798988328
"145",1775.98909357394,6.8045559140764
"146",1559.36681254686,5.9745854886853
"148",1075.20328940709,4.11955283297737
"149",2194.41750411241,8.40772990081383
"150",2415.7744521698,9.25584081291112
"151",2696.89192041259,10.3329192352973
"152",2601.61392985011,9.96786946302726
"153",4155.47363924416,15.9213549396328
"154",3546.56081547245,13.588355614837
"155",3026.04174781115,11.5940296851002
"156",2236.71934416518,8.56980591634168
"157",2750.61258020878,10.5387455180413
"158",1800.37736456027,6.897997565365
"159",2191.06906427812,8.39490062941807
"16",733.69717928379,2.81110030376931
"160",2147.24728429165,8.22700108924004
"161",2410.17650875107,9.23439275383551
"162",4529.84410113402,17.3557245254177
"163",4935.7546634754,18.9109374079517
"164",3889.35751895046,14.9017529461704
"165",2788.29174774013,10.6831101445982
"166",2417.24399244671,9.26147123542801
"167",2788.47160193737,10.6837992411393
"168",2792.60050001869,10.699618774018
"169",2650.10426702204,10.1536561954867
"17",1001.21200316152,3.83606131479511
"170",3365.62416164478,12.8951117304398
"171",2979.95157755581,11.4174389944667
"172",2244.9204524098,8.60122778701075
"173",2157.62097427921,8.26674702788971
"174",2376.83767053019,9.10665774149498
"175",2941.80896206612,11.2712987052342
"176",2421.16687130059,9.27650142260763
"177",2666.99402416989,10.2183679086969
"178",2368.2462008212,9.07374023303143
"179",2328.64590194235,8.9220149499707
"18",1132.01468428886,4.33722101260099
"180",2177.04539727176,8.34117010448949
"181",2488.52650845067,9.5345843235658
"182",2398.56276215774,9.18989564045111
"183",2309.2054410861,8.84753042561725
"184",2606.47112335733,9.98647939983652
"185",1975.31455864196,7.56825501395387
"186",2559.13636279664,9.8051201639718
"187",1984.26741378244,7.6025571409289
"188",1869.75875540308,7.16382664905396
"189",2551.16676917188,9.77458532249761
"19",1148.61049005524,4.40080647530745
"190",2323.08547513032,8.90071063268322
"191",2086.93227252424,7.99590909013118
"192",1891.13366604717,7.24572285841826
"193",2160.32667188904,8.27711368539862
"194",2049.39386550356,7.85208377587572
"195",2064.43218200533,7.9097018467637
"196",1977.72849462999,7.57750381084287
"197",2001.65848636944,7.66918960294803
"198",1973.7879937977,7.56240610650458
"199",1777.0913720688,6.80877920332873
"20",1209.15658283414,4.63278384227639
"200",1725.37192619429,6.61062040687468
"201",1566.21052598228,6.00080661295892
"202",1970.38270358549,7.54935901756894
"203",1646.18979378157,6.30724058920142
"204",1670.80277530541,6.40154320040387
"205",1265.93905952679,4.85034122424057
"206",1565.72211155063,5.99893529329742
"207",1485.61533220764,5.69201276707907
"208",4241.6832408129,16.2516599264862
"209",6412.55249692516,24.5691666548857
"21",1169.29494697193,4.48005726809169
"210",1603.58585173882,6.14400709478473
"211",1557.86717858065,5.96883976467681
"212",1901.67018373852,7.28609265800198
"213",1638.95991909956,6.2795399199217
"214",1503.4856927747,5.76048158151226
"215",925.596529095453,3.54634685477185
"216",1054.29014841061,4.03942585597935
"217",1334.11571157833,5.11155445049167
"218",1406.70428245479,5.38967158028655
"219",1399.77204037479,5.3631112658038
"22",1430.1741191062,5.47959432607738
"220",1522.27459703649,5.83246972044632
"221",1222.73626295167,4.68481326801405
"222",1154.59857156028,4.42374931632291
"223",1120.2236468351,4.29204462388928
"225",935.944252542443,3.58599330476032
"226",797.916193889869,3.05715016816042
"227",763.262765456454,2.92437841171055
"229",1449.53050536788,5.55375672554744
"230",1193.59173043538,4.57314839247271
"231",1127.07625518195,4.31829982828332
"232",1130.88007497958,4.33287385049647
"233",1107.97290509995,4.24510691609177
"234",1539.62085374453,5.89893047411696
"235",1651.84547490026,6.32890986551823
"236",1347.28714485323,5.16201971208136
"237",1311.66277751386,5.02552788319487
"238",1234.68128910691,4.73057965175061
"239",1727.48926498292,6.61873281602651
"240",1572.36190976777,6.02437513320986
"241",1556.84649437241,5.96492909721228
"242",1551.02348517725,5.94261871715421
"243",1577.38520344572,6.04362146914068
"244",1396.57592847781,5.35086562635174
"245",1970.31946804683,7.54911673581161
"246",1922.39375875203,7.36549332855183
"247",2670.90136232401,10.2333385529656
"248",1743.01816943062,6.67823053421693
"249",1597.32523626809,6.12002006232986
"250",1566.60645444476,6.00232358024814
"251",1731.70146998827,6.63487153252212
"252",2111.89752878326,8.09156141296269
"253",1952.73029341582,7.48172526212959
"254",2151.14981226453,8.24195330369552
"255",2423.05401616967,9.28373186271904
"256",1798.61407918897,6.89124168271635
"257",1868.50453638951,7.15902121222033
"258",1745.48236354379,6.68767189097238
"259",1755.75331943288,6.72702421238652
"260",2211.5390889787,8.47332984283029
"261",2608.14980965129,9.99291114808922
"263",1707.17250642744,6.54089082922389
"264",2397.94957632891,9.18754626945942
"268",2115.47443198312,8.10526602292383
"270",1876.64633855222,7.19021585652191
"271",1845.83565032971,7.07216724264258
"272",1896.78985100511,7.26739406515369
"273",2247.31198886482,8.61039076193418
"274",2076.97923356707,7.95777484125313
"279",2033.28860350388,7.7903777912026
"283",1843.75008438853,7.06417656853843
"284",2069.89823258987,7.93064456930983
"285",1331.21891789207,5.10045562410756
"288",1779.59015792603,6.81835309550203
"289",1338.58819620553,5.12869040691774
"293",1544.30483658836,5.91687676853777
"294",1784.64594073588,6.83772391086543
"295",1802.09240308413,6.90456859419206
"296",1189.29433007376,4.55668325698757
"297",2052.90621948662,7.86554107082996
"30",894.490268778681,3.42716578076123
"303",1393.79348133233,5.34020490931928
"304",1453.59559796469,5.56933179296817
"305",1299.81113850307,4.98011930460948
"309",1902.04563869855,7.28753118275308
"31",962.559792510069,3.68796855367843
"312",1344.80469490071,5.15250840958127
"313",1179.65406247418,4.51974736580147
"314",1399.97748206267,5.36389839870754
"315",1359.34686287516,5.20822552825731
"32",1208.07996334053,4.62865886337368
"321",658.063853442986,2.52131744614171
"322",847.349472263548,3.24654970215919
"33",1307.5369594981,5.00972015133371
"34",1389.91151025489,5.32533145691531
"35",1614.73183625009,6.18671201628387
"36",1556.46336845695,5.9634611818274
"37",1711.36278239079,6.55694552640151
"38",867.728279440669,3.32462942314433
"416",831.528488240457,3.18593290513585
"42",974.17737323117,3.73248035720755
"43",1208.6075822937,4.63068039192988
"44",1440.86840364491,5.52056859634067
"45",1427.75887784504,5.47034052814193
"46",1577.76708301416,6.04508460924964
"47",1643.57477797893,6.29722137156678
"48",1857.18024387277,7.11563311828646
"49",978.554324068271,3.74925028378648
"53",1094.51190398441,4.19353219917399
"54",1591.09916967106,6.09616540103856
"55",1662.15234188628,6.36839977734207
"56",1083.98172102373,4.15318667058901
"57",970.544697091144,3.71856205782047
"58",1117.51147993216,4.28165317981671
"59",1212.50131312552,4.64559890086405
"60",1443.82741324289,5.53190579786547
"600",1224.29964311036,4.69080323030791
"602",901.962564002583,3.45579526437771
"61",1453.85254624934,5.57031626915456
"62",1401.81161517204,5.3709257286285
"622",736.292699317186,2.82104482497006
"63",1473.65541401346,5.64618932572206
"637",1306.57278988208,5.00602601487387
"64",1652.76465402499,6.33243162461681
"65",1667.19130358213,6.38770614399284
"66",1528.3792396273,5.85585915566016
"67",1452.13486448306,5.56373511296192
"68",1406.47636690627,5.38879834063706
"69",1693.74855418555,6.48945806201361
"7",951.205977476835,3.64446734665454
"70",1887.12977865041,7.23038229367975
"71",1147.90008446563,4.39808461481083
"72",1464.08265771937,5.60951209854164
"73",1424.89332960504,5.45936141611127
"74",1840.19978374213,7.05057388406948
"75",1598.74188399866,6.12544783141249
"78",2095.43176221345,8.02847418472585
"79",1252.9785184746,4.80068397882989
"80",1253.92667503426,4.80431676258336
"81",1190.28832720728,4.5604916751237
"82",1307.35497592638,5.00902289626965
"83",1610.0045855534,6.16859994464905
"84",1365.93057940192,5.23345049579281
"85",1486.32953476095,5.6947491753293
"86",1590.19731525951,6.09271002015137
"87",1691.60146947272,6.48123168380351
"88",1301.70067207384,4.98735889683465
"89",1446.20108431904,5.54100032306144
"90",1344.63274114528,5.15184958293212
"91",1470.80748001262,5.63527770119777
"92",1171.63987440659,4.48904166439307
"93",1221.33156750775,4.67943129313313
"94",1423.14479093604,5.45266203423769
"95",1389.60525435301,5.32415806265521
"96",1478.12654595698,5.66332009945204
"97",1244.62895349976,4.76869330842822
"98",1436.49783076954,5.50382310639672
"99",1418.02267050716,5.43303705175158
