"k","tapub2012","tapub2012_percap"
"100",130.058767296024,0.498309453241471
"101",142.398184960471,0.545586915557361
"102",125.069488225895,0.479193441478526
"103",139.784618207296,0.535573249836384
"104",178.494445512583,0.683886764416026
"105",171.700965949622,0.657858107086676
"107",156.907065191153,0.601176494985259
"108",143.775889468097,0.550865476889259
"109",126.31527295417,0.483966563042795
"110",119.978177258607,0.459686502906539
"111",140.826298556778,0.539564362286505
"112",145.352971394216,0.556907936376308
"113",153.208945448808,0.58700745382685
"115",132.197194980383,0.506502662760089
"116",0.588990324224805,0.0022566679089073
"117",192.999248475756,0.739460722129333
"118",176.98590067158,0.678106899124826
"119",141.45654547162,0.541979101423832
"120",173.035243157794,0.66297028029806
"121",149.636435224222,0.57331967518859
"122",184.426156014013,0.706613624574762
"123",178.615717776343,0.684351409104764
"124",160.157311657589,0.613629546580801
"125",0.0140009730792093,5.36435750161275e-05
"126",171.25070830421,0.656132982008469
"127",213.148751321451,0.816661882457667
"128",184.257341086849,0.705966824087545
"129",188.493808230489,0.722198498967389
"130",176.7895835793,0.67735472635747
"131",184.126557900375,0.705465739081897
"132",173.030629377444,0.662952602978713
"133",206.167529838877,0.789913907428646
"134",211.294166687021,0.809556194203145
"135",226.105675298884,0.866305269344382
"136",208.838668604435,0.800148155572547
"137",203.320908449916,0.779007312068645
"138",163.476104805927,0.626345229141481
"139",205.275624398379,0.786496645204518
"140",214.699446033365,0.822603241507145
"141",209.443077875542,0.80246389990629
"142",218.247459917181,0.836197164433642
"143",232.855848286324,0.892168001097026
"144",228.085903764925,0.873892351589751
"145",217.039219392548,0.831567890392904
"146",230.941230873289,0.884832302196511
"148",132.249469465165,0.506702948142394
"149",233.972894901867,0.896447873187229
"150",227.961239368171,0.873414710222876
"151",238.60338762558,0.914189224619082
"152",228.36963439724,0.87497944213502
"153",258.261318101793,0.989506965907253
"154",247.731239844634,0.949161838485189
"155",256.666632974866,0.983397061206382
"156",220.196149435395,0.84366340779845
"157",218.498826937322,0.837160256464836
"158",224.816712030168,0.861366712759263
"159",237.967314403736,0.911752162466422
"16",139.798441497878,0.535626212635549
"160",238.769292284914,0.914824874654844
"161",237.771181018347,0.911000693556887
"162",262.55812483287,1.00596982694586
"163",278.0086558389,1.06516726375058
"164",268.650818151104,1.02931347950615
"165",256.632761524432,0.983267285534223
"166",248.054996926908,0.950402287076276
"167",233.819353878011,0.895859593402341
"168",228.263248032086,0.87457183154056
"169",244.623768670713,0.937255818661735
"17",149.649342325512,0.573369127683955
"170",263.552769270155,1.00978072517301
"171",248.943338446377,0.953805894430562
"172",247.658900948094,0.948884677962048
"173",241.220172949378,0.924215222028268
"174",229.941378365883,0.881001449677713
"175",241.250835803482,0.924332704227901
"176",239.988327741293,0.91949550858733
"177",235.346502431691,0.901710737286172
"178",230.272915287317,0.882271706081674
"179",240.556000609636,0.921670500420062
"18",155.751797471999,0.596750181885055
"180",216.672894366405,0.830164346231437
"181",239.996093438018,0.919525262214628
"182",227.678658341489,0.872332024296894
"183",232.828546019822,0.89206339471196
"184",204.129118805229,0.782103903468312
"185",200.888400858577,0.769687359611406
"186",196.039966581489,0.751110983070839
"187",183.024269083885,0.701242410283083
"188",209.781934265358,0.803762200250414
"189",223.873257697492,0.857751945201118
"19",174.148073246798,0.66723399711417
"190",202.752124967311,0.776828065008856
"191",185.028807508333,0.708922634131545
"192",180.017348668129,0.689721642406624
"193",221.344905062776,0.848064770355465
"194",201.418810714008,0.771719581279723
"195",201.21482526937,0.770938027851993
"196",185.449840692766,0.710535788094887
"197",187.488855806205,0.718348106537184
"198",183.912764722084,0.704646608130589
"199",170.921300749445,0.654870884097492
"20",169.713418533055,0.65024298288527
"200",224.04533584325,0.858411248441573
"201",210.111725223239,0.805025767138845
"202",185.743796280131,0.711662054713146
"203",173.8945644358,0.66626269898774
"204",164.574397114754,0.630553245650398
"205",180.694397800543,0.692315700385223
"206",169.314061036387,0.648712877534051
"207",183.789059082765,0.70417264016385
"208",212.076126814552,0.812552210017442
"209",191.664192232322,0.734345564108514
"21",194.322792009573,0.744531770151619
"210",183.259730030101,0.702144559502303
"211",187.808396195946,0.719572399218184
"212",166.524816220877,0.638026115788802
"213",153.310956087132,0.587398299184414
"214",140.942375617037,0.540009101980986
"215",0.0883351689369648,0.000338448923130134
"216",194.801939668545,0.746367584936955
"217",193.139390148813,0.739997663405415
"218",228.113611882254,0.873998512958828
"219",230.152846607249,0.88181167282471
"22",187.374716641745,0.717910791730825
"220",166.360070921967,0.637394907747001
"221",167.375872844951,0.641286869137744
"222",182.851588147562,0.700580797500237
