"k","tapub2017","tapub2017_percap"
"1",114.485359901987,0.374135163078388
"10",138.567313752189,0.452834358667284
"100",117.293536352429,0.383312210302056
"101",161.989488290364,0.529377412713609
"102",128.268712105087,0.419178797729044
"103",138.731184474542,0.453369883903734
"104",189.890309610943,0.620556567356024
"105",197.254299120328,0.644621892550093
"106",181.602075914925,0.593470836323286
"107",150.533021951376,0.491937980233256
"108",156.960250777067,0.512941996003488
"109",147.048884868708,0.480551911335647
"110",139.263919573458,0.455110848279276
"111",165.779823876638,0.541764130315811
"112",163.237402981982,0.533455565300595
"113",173.832507303458,0.568080089226985
"114",159.914653383572,0.52259690648226
"115",120.997749959924,0.395417483529164
"117",141.339050806672,0.461892322897622
"118",137.466317832647,0.449236332786429
"119",122.238921611144,0.399473600036419
"12",150.213301101163,0.490893140853473
"120",146.913925115337,0.48011086638999
"121",145.541972933966,0.475627362529301
"122",174.474100114013,0.570176797758211
"123",168.323985707583,0.550078384665303
"124",152.395218810371,0.498023590883566
"126",154.503154366202,0.504912269170596
"127",182.347587644254,0.595907149164229
"128",174.993221015335,0.571873271291944
"129",178.653465351801,0.583834854090854
"13",118.444992793758,0.387075139848882
"130",172.403032803594,0.563408603933313
"131",163.201949142534,0.533339703080176
"132",164.924541637855,0.538969090319789
"133",193.204090314514,0.631385916060503
"134",193.430516877439,0.632125872148494
"135",215.391177047656,0.703892735449856
"136",203.680193652512,0.665621547884025
"137",196.289035884988,0.641467437532641
"138",154.019413401734,0.503331416345535
"139",196.032577001757,0.640629336607048
"14",118.177958733611,0.386202479521604
"140",193.349955903424,0.631862600991581
"141",212.285066581633,0.693742047652395
"142",217.863592725362,0.711972525246282
"143",233.707284506226,0.763749295771979
"144",234.007922417804,0.764731772607202
"145",196.163147394971,0.641056037238467
"146",186.321057095777,0.608892343450253
"148",123.363597424153,0.403149011190044
"149",215.982491150836,0.705825134479856
"15",128.677997965379,0.420516333220193
"150",230.148951342231,0.752120756020362
"151",238.527422869212,0.779501381925529
"152",227.117084785812,0.742212695378471
"153",258.624566100389,0.845178320589506
"154",252.361889846411,0.824712058321606
"155",252.413603204287,0.82488105622316
"156",222.428214691428,0.726889590494863
"157",221.165582451209,0.72276334134382
"158",226.986292475769,0.741785269528656
"159",240.431280579075,0.785723139147303
"16",136.323763383771,0.445502494718207
"160",240.225403056079,0.785050336784573
"161",242.984869589078,0.794068201271496
"162",265.219213240366,0.866729455033875
"163",280.227953520059,0.915777625882547
"164",271.025599296443,0.885704572864192
"165",262.066414468,0.856426191071895
